path,category,factory,classification,reason,estimated_products
灯带/迪闻/灯带套装报价 - 玲姐给/2m USB rgbic strip light .xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,2
灯带/迪闻/灯带套装报价 - 玲姐给/5m warm white led strip light  -christy(1).xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,3
灯带/迪闻/灯带套装报价 - 玲姐给/报价单 幻彩cct 和3m RGB 灯条汇孚240222.xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,3
灯带/迪闻/灯带套装报价 - 玲姐给/Christy-quotation-LED STRIP LIGHT - 231106.xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,7
灯带/迪闻/灯带套装报价 - 玲姐给/Quotation-5m CCT LED  STRIP LIGHT 20240117.xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,2
灯带/迪闻/汇孚灯条报价20230912.xlsx,灯带,迪闻,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,9
灯带/迪闻/宁波迪闻照明报价单20240904.xlsx,灯带,迪闻,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,5
灯带/广交会最终核价/低压核价+套装 138th.xlsx,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,37
灯带/广交会最终核价/华浦更新 12V24V低压灯带整理-20240919.xlsx,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,23
灯带/广交会最终核价/汇孚画册+广交会灯带选品核价_136th.xlsx,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,57
灯带/广交会最终核价/汇孚画册+广交会灯带选品核价_137th+138th .xlsx,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,57
灯带/广交会最终核价/L069 灯带套装价格参考/华浦-W1124L069.xls,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,56
灯带/广交会最终核价/L069 灯带套装价格参考/华浦wellux 定制灯带价格箱单明细表.xls,灯带,广交会最终核价,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,24
灯带/虹宇/虹宇202604价格更新 也是全部不含税/1、220V无导线报价单-04(1).xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,33
灯带/虹宇/虹宇202604价格更新 也是全部不含税/11、纯硅胶挤出报价格表-04(1).xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,26
灯带/虹宇/虹宇202604价格更新 也是全部不含税/12、12V华浦开关电源销售价格表04.xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,47
灯带/虹宇/虹宇202604价格更新 也是全部不含税/13、24V开关电源价格-04.xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,52
灯带/虹宇/虹宇202604价格更新 也是全部不含税/14、12V--经济款电源-印度款 3成-04.xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,31
灯带/虹宇/虹宇202604价格更新 也是全部不含税/15、高压无频闪电源报价-04.xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,4
灯带/虹宇/虹宇202604价格更新 也是全部不含税/2、220V高压有导线灯带价格表-04.xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,31
灯带/虹宇/虹宇202604价格更新 也是全部不含税/3、2026年内销低压灯带-04.xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,29
灯带/虹宇/虹宇202604价格更新 也是全部不含税/4、印度常规产品-04.xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,89
灯带/虹宇/虹宇202604价格更新 也是全部不含税/5、220V-无导线COBT-04(1).xls,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,7
灯带/虹宇/虹宇202604价格更新 也是全部不含税/6、220V高压COB销售价-04.xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,27
灯带/虹宇/虹宇202604价格更新 也是全部不含税/7、COB-12V--24V单面及双面灯带价格表-04(1).xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
灯带/虹宇/虹宇202604价格更新 也是全部不含税/8、高压有导线柔性灯带单价表-04.xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,14
灯带/虹宇/虹宇202604价格更新 也是全部不含税/9、高压无导线柔性灯带价格表-04(1).xlsx,灯带,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,16
灯带/跨境产品/134th跨境电商.(1).xlsx,灯带,跨境产品,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,14
灯带/跨境产品/灯带套装 东莞迪闻/汇孚灯条报价20230912.xlsx,灯带,跨境产品,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,9
灯带/亮而彩/低压灯带-汇孚-询价单 .xlsx,灯带,亮而彩,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,28
灯带/亮而彩/亮而彩-低压含税报价.xlsx,灯带,亮而彩,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,28
灯带/亮而彩/To 亮而彩 - 汇孚集团COB 灯带 询价.xlsx,灯带,亮而彩,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,24
灯带/亮而彩/To 亮而彩-汇孚广交会高压灯带询价单.xls,灯带,亮而彩,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,16
灯带/尼奥/硅胶灯带报价 202510 未含税 .xlsx,灯带,尼奥,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,34
灯带/尼奥/尼奥-广交会灯带选品核价 - 高压无导线+柔性 更新 20250331.xls,灯带,尼奥,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,19
灯带/尼奥/屋檐灯报价 (20250830).xlsx,灯带,尼奥,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,6
灯带/尼奥/屋檐灯报价 (3).xlsx,灯带,尼奥,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,5
灯带/尼奥/To 尼奥-汇孚广交会灯带样品清单.xls,灯带,尼奥,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,17
灯带/灯带控制器 镁联/LED A文件控制器(2)(5).xls,灯带控制器,灯带控制器 镁联,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,52
灯带/灯带控制器 镁联/LED B文件控制器(2)(5).xls,灯带控制器,灯带控制器 镁联,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,114
灯带/灯带连接器/新生代/2025 新生代连接器价格表.xlsx,灯带连接器,灯带连接器,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,119
灯带/虹宇/虹宇皮线灯/核价Wellux Quotation of LED STRING LIGHT 20220902.xlsx,皮线灯,虹宇,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,20
灯带/虹宇/虹宇皮线灯/皮线灯报价单产品-0830.xls,皮线灯,虹宇,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,22
灯带/虹宇/虹宇皮线灯/皮线灯产品.xls,皮线灯,虹宇,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,14
灯带/跨境产品/伊特/20241126 皮线灯报价.xlsx,皮线灯,跨境产品,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,13
灯带/跨境产品/伊特/2024年-皮线灯报价 -全.xlsx,皮线灯,跨境产品,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,40
灯带/跨境产品/伊特/2025.04.03 皮线灯报价单.xls,皮线灯,跨境产品,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,40
灯带/皮线灯 伊特/20241126 皮线灯报价.xlsx,皮线灯,皮线灯 伊特,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,13
灯带/皮线灯 伊特/2024年-皮线灯报价 -全.xlsx,皮线灯,皮线灯 伊特,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,40
灯带/皮线灯 伊特/2025.04.03 皮线灯报价单.xls,皮线灯,皮线灯 伊特,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,40
光源/球泡灯管/佛山凯徽/2年质保，光效高点的询价单2023.10.31.xlsx,灯管,佛山凯徽,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,31
光源/球泡灯管/光极/光极报价2023.10.10.xlsx,灯管,光极,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,98
光源/球泡灯管/光极/光极球泡报价单-230812.xlsx,灯管,光极,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,23
光源/球泡灯管/合力/202304+10/合力4月广交会价格/杭州汇孚 包装成本，堵头成本差价表.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,6
光源/球泡灯管/合力/202304+10/合力4月广交会价格/杭州汇孚 灯管报价表-2023.3.24.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,29
光源/球泡灯管/合力/202304+10/合力4月广交会价格/杭州汇孚球泡报价表-2023.3.26.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,41
光源/球泡灯管/合力/202304+10/合力4月广交会价格/刘林姐发 合力灯管更新 202309/杭州汇孚 ERP灯管报价表-2023.8.25(1).xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,19
光源/球泡灯管/合力/202304+10/合力4月广交会价格/刘林姐发 合力灯管更新 202309/刘林灯管报价-2023.6.21.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,25
光源/球泡灯管/合力/202304+10/价格成本表-2023 10月和4月对比.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,42
光源/球泡灯管/合力/202304+10/价格成本表-2023.10.06...xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,42
"光源/球泡灯管/合力/202304+10/g泡，gu10,c37 价格-2023.10.09.xlsx",灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,23
光源/球泡灯管/合力/202404/产品目录-价格-2024.4.14.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,25
光源/球泡灯管/合力/202404/杭州汇孚 包装成本，堵头成本差价表.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,6
光源/球泡灯管/合力/202404/A泡价格-2024.4.14.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,33
光源/球泡灯管/合力/202404/t8 灯管 -2024.4.14.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,23
光源/球泡灯管/合力/202404/T泡 价格表 2024.03.29.xlsx,灯管,合力,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,23
光源/球泡灯管/合力/202410/汇总报价单 - A泡  10-13 (1).xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,16
光源/球泡灯管/合力/202410/异性泡-汇总 报价单2024.10.13 .xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
光源/球泡灯管/合力/202410/最新T8 灯管价格-2024.9.06.xlsx,灯管,合力,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,27
光源/球泡灯管/合力/202410/NEW ERP T8 TUBE -2024.10.08.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,20
光源/球泡灯管/合力/202410/T泡各系列  汇总报价单-2024.10.13   .xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
光源/球泡灯管/合力/202604/AC&DC 12V-80V T泡价格 -2025.9.27.xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
光源/球泡灯管/合力/202604/ERP A 泡 价格-2025.10.13.xlsx,灯管,合力,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,11
