relative_path,major,path_category,category,factory,kind,action,file_size,modified_at,reason,absolute_path
灯带/1988/画册2025(1).pdf,灯带,1988,灯带,画册2025(1).pdf,catalog,update,9250377,2026-03-26T06:09:27.380Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/1988/画册2025(1).pdf
灯带/灯带控制器 镁联/LED Contronller Catalogue A - Wellux.pdf,灯带,灯带控制器 镁联,灯带控制器,LED Contronller Catalogue A - Wellux.pdf,catalog,update,1445471,2025-04-25T07:18:30.620Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/灯带控制器 镁联/LED Contronller Catalogue A - Wellux.pdf
灯带/灯带控制器 镁联/LED Contronller Catalogue B - Wellux.pdf,灯带,灯带控制器 镁联,灯带控制器,LED Contronller Catalogue B - Wellux.pdf,catalog,update,2349190,2025-04-25T07:19:53.720Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/灯带控制器 镁联/LED Contronller Catalogue B - Wellux.pdf
灯带/灯带连接器/新生代/2025-Catalogue_13MB.pdf,灯带,灯带连接器,灯带连接器,新生代,catalog,update,12945231,2025-09-09T01:36:51.100Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/灯带连接器/新生代/2025-Catalogue_13MB.pdf
灯带/灯带连接器/新生代/2025-Catalogue_LED Strip Connector .pdf,灯带,灯带连接器,灯带连接器,新生代,catalog,update,12832175,2026-02-28T06:59:29.530Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/灯带连接器/新生代/2025-Catalogue_LED Strip Connector .pdf
灯带/迪闻/20251105/Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf,灯带,迪闻,灯带,20251105,quotation,update,220202,2025-11-06T03:14:42.750Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/20251105/Newest Quotation-3m 5m 10m RGB STRIP LIGHT 20251105.pdf
灯带/迪闻/3M 5M RGB Strip Light Spec.pdf,灯带,迪闻,灯带,3M 5M RGB Strip Light Spec.pdf,spec,update,1459293,2024-09-05T07:56:15.000Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/3M 5M RGB Strip Light Spec.pdf
灯带/迪闻/5M RGBIC Strip Light Spec .pdf,灯带,迪闻,灯带,5M RGBIC Strip Light Spec .pdf,spec,update,1534882,2024-09-05T07:56:28.000Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/5M RGBIC Strip Light Spec .pdf
灯带/迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf,灯带,迪闻,灯带,Christy-quotation-LED STRIP LIGHT - 202305.pdf,quotation,update,284102,2023-05-18T04:38:38.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf
灯带/迪闻/D-win- 2023 Product Catalog 灯带套装.pdf,灯带,迪闻,灯带,D-win- 2023 Product Catalog 灯带套装.pdf,catalog,update,15900166,2024-08-26T10:58:23.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/D-win- 2023 Product Catalog 灯带套装.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/driver.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,2871323,2025-03-25T08:54:20.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/driver.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/L069 LED STRIP.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,6793317,2025-03-20T09:07:55.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/L069 LED STRIP.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/金莹设计原稿/035 华浦.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,181961725,2025-07-10T07:35:16.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/金莹设计原稿/035 华浦.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/CTN.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,414268,2025-07-14T09:02:30.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/CTN.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/LST-12V-5050-RGB-60.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,61638544,2025-09-22T08:59:07.270Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/LST-12V-5050-RGB-60.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/Sticker & printing.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,544086,2025-07-14T09:02:30.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L035 华浦/Sticker & printing.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/12V24V STRIP.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,80526631,2024-12-17T09:33:02.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/12V24V STRIP.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/220V STRIP-(已改).pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,21876654,2024-12-30T07:16:30.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/220V STRIP-(已改).pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/controller manual.pdf,灯带,广交会最终核价,灯带控制器,L069 灯带套装价格参考,quotation,update,688181,2024-12-23T02:14:40.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/controller manual.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/Controller sticker+connector color paper+plug color paper.pdf,灯带,广交会最终核价,灯带连接器,L069 灯带套装价格参考,quotation,update,1085178,2024-12-13T10:05:42.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/Controller sticker+connector color paper+plug color paper.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/CTN-1.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,1395621,2024-12-31T03:42:18.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/CTN-1.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/CTN-2.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,1270930,2024-12-26T06:26:54.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/CTN-2.pdf
灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/driver.pdf,灯带,广交会最终核价,灯带,L069 灯带套装价格参考,quotation,update,2871323,2024-12-31T05:36:54.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/广交会最终核价/L069 灯带套装价格参考/WELLUX灯带包装/L069 华浦/driver.pdf
灯带/跨境产品/灯带套装 东莞迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf,灯带,跨境产品,灯带,灯带套装 东莞迪闻,quotation,update,284102,2023-05-18T04:38:38.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/跨境产品/灯带套装 东莞迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf
灯带/跨境产品/伊特/Guangdong Ruidisong Technology Catalogue 2024.pdf,灯带,跨境产品,灯带,伊特,catalog,update,5079007,2024-11-27T10:13:12.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/跨境产品/伊特/Guangdong Ruidisong Technology Catalogue 2024.pdf
